datetime,BTC,ETH,Z_Score,Hedge_Ratio,Signal,Position,BTC_Return,ETH_Return,Spread_Return,Strategy_Return,Cum_Return
2023-12-17 05:00:00,41904.74,2214.43,-0.5187958416089673,0.056623373380407904,0,1,-0.0023706662622817506,-0.0034126571801327823,-0.0032824754138927235,-0.0032824754138927235,0.9752123965990691
2023-12-17 06:00:00,42017.54,2215.79,-1.061973500927925,0.05915300938372109,0,1,0.0026882031310040085,0.0006139650142527332,0.0004617498846435116,0.0004617498846435116,0.9756628047906641
2023-12-17 07:00:00,41853.29,2209.37,-0.45986815726856395,0.06047791125399543,0,1,-0.0039167422088966074,-0.0029015920347697133,-0.002669904946133236,-0.002669904946133236,0.9730613522033081
2023-12-17 08:00:00,41883.72,2213.52,0.029752434140210497,0.06158515850709423,0,1,0.0007267993289830974,0.0018766015966476554,0.0018326462913299522,0.0018326462913299522,0.9748462645385798
2023-12-17 09:00:00,42005.59,2217.86,-0.3991033548033414,0.062254764378982974,0,1,0.0029054973925681507,0.0019587583947297716,0.001779822877266513,0.001779822877266513,0.9765828631825924
2023-12-17 10:00:00,41940.62,2215.86,0.0519607904186631,0.06196010771805477,0,1,-0.0015478962772052338,-0.0009021770141794967,-0.0008058130961589799,-0.0008058130961589799,0.9757962369014003
2023-12-17 11:00:00,41950.01,2216.54,0.12871531734048466,0.06058685402806965,0,1,0.00022386290433671236,0.0003068315158084415,0.00029296094614166224,0.00029296094614166224,0.9760821489686944
2023-12-17 12:00:00,41965.44,2216.81,-0.035405884100657745,0.058529933138381146,0,1,0.0003677511155312021,0.0001218040535187646,9.952317036341588e-05,9.952317036341588e-05,0.9761792965928344
2023-12-17 13:00:00,41860.62,2209.37,-0.3940818634499221,0.05800460591280651,0,1,-0.00250089422389186,-0.0033618185465253006,-0.0032154413748147464,-0.0032154413748147464,0.9730454902786253
2023-12-17 14:00:00,41662.63,2207.07,1.890545895162632,0.05464740844184346,-1,0,-0.0047409642428276125,-0.0010415629819176026,-0.0007665652193656798,-0.0007665652193656798,0.9722998732674627
2023-12-17 15:00:00,41823.97,2223.27,2.9933740438248897,0.05020407994200454,-1,-1,0.0038650562090258673,0.007313241061703432,0.007102025756398112,0.0,0.9722998732674627
