open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume,ignore,datetime
1696204800000,27994.99,28485.97,27290.8,27544.99,305.42682,1696291199999,8559303.2825925,28115,145.61971,4088420.1821234,0,2023-10-02
1696291200000,27538.64,27673.49,27158.39,27420.0,202.03119,1696377599999,5544911.3178612,18024,95.74264,2628372.4893872,0,2023-10-03
1696377600000,27420.99,27835.19,27246.0,27790.15,187.67526,1696463999999,5173005.80041,16140,104.48694,2881668.7526761,0,2023-10-04
1696464000000,27789.66,28138.1,27350.0,27419.92,196.41966,1696550399999,5436946.3213052,17649,85.55357,2370838.3255341,0,2023-10-05
1696550400000,27410.02,28127.18,27069.93,27935.03,225.39403,1696636799999,6244520.2791002,19553,133.88327,3715315.0173111,0,2023-10-06
1696636800000,27936.0,27975.14,27843.65,27952.0,69.06262,1696723199999,1928175.0196564,9838,37.19687,1038770.8680088,0,2023-10-07
1696723200000,27952.0,28090.0,27689.99,27920.0,106.82616,1696809599999,2981285.5603017,13016,54.48205,1521028.0401608,0,2023-10-08
1696809600000,27915.01,27984.99,27250.0,27584.59,168.02213,1696895999999,4639424.0414691,15896,71.19279,1966208.1845967,0,2023-10-09
1696896000000,27579.67,27700.0,27297.92,27418.69,128.99393,1696982399999,3547794.9304432,12417,58.47863,1610157.2392174,0,2023-10-10
1696982400000,27418.69,27477.99,26542.08,26879.99,208.7874,1697068799999,5632204.3502662,16488,89.64576,2418631.1534171,0,2023-10-11
1697068800000,26879.99,26946.79,26555.82,26764.31,114.60949,1697155199999,3064765.3204358,10832,57.59832,1540983.18987,0,2023-10-12
1697155200000,26765.0,27147.4,26689.1,26859.53,134.54676,1697241599999,3614068.6623265,12066,74.32435,1997346.9973945,0,2023-10-13
1697241600000,26866.14,26986.72,26793.53,26858.31,59.97108,1697327999999,1612136.1397908,5387,26.50377,712665.6201605,0,2023-10-14
1697328000000,26858.1,27250.0,26815.02,27135.01,87.94757,1697414399999,2374574.9768966,10701,50.93626,1375434.808677,0,2023-10-15
1697414400000,27141.12,28803.36,27087.8,28466.74,295.79009,1697500799999,8273952.4348824,34734,187.34716,5237057.8697482,0,2023-10-16
1697500800000,28466.63,28579.81,28064.1,28403.58,186.50895,1697587199999,5292005.145648,21363,94.85665,2691174.2443602,0,2023-10-17
1697587200000,28403.38,28941.84,28140.0,28318.99,182.28542,1697673599999,5187852.890752,16790,76.24512,2169627.4529218,0,2023-10-18
1697673600000,28318.99,28803.36,28137.02,28717.45,199.52404,1697759999999,5692495.6030261,21318,120.08217,3427373.0243,0,2023-10-19
1697760000000,28718.45,29836.84,28616.92,29659.06,278.35869,1697846399999,8173370.6222328,30567,168.9305,4960096.8452508,0,2023-10-20
1697846400000,29659.07,30200.0,29455.3,29904.46,186.32447,1697932799999,5568395.4760314,19472,112.43513,3359629.7790528,0,2023-10-21
1697932800000,29904.85,30130.0,29700.0,29992.78,132.86552,1698019199999,3974433.1518572,16177,61.22331,1832291.6321549,0,2023-10-22
1698019200000,29992.78,33425.56,29875.5,32915.0,503.45501,1698105599999,15770717.0287471,55935,313.84436,9823674.5329276,0,2023-10-23
1698105600000,32915.0,35100.0,32846.23,33932.19,625.25892,1698191999999,21312218.3955015,53236,308.93931,10535147.5377795,0,2023-10-24
1698192000000,33932.22,35000.0,33670.98,34520.97,344.09174,1698278399999,11834561.2418783,36609,190.27179,6545324.915679,0,2023-10-25
1698278400000,34520.97,34803.48,33762.93,34157.97,302.09876,1698364799999,10364698.8017056,23525,124.44393,4273619.5287656,0,2023-10-26
1698364800000,34174.04,34248.27,33201.35,33870.0,193.98987,1698451199999,6570739.3909805,17588,88.5342,3001624.8931896,0,2023-10-27
1698451200000,33870.0,34314.9,33818.82,34097.09,85.94278,1698537599999,2929044.9494644,8939,47.06139,1604373.4681277,0,2023-10-28
1698537600000,34095.3,34717.13,33936.34,34522.08,138.24133,1698623999999,4753297.1453047,14262,80.60117,2771671.139389,0,2023-10-29
1698624000000,34531.64,34873.66,34052.33,34481.52,235.60469,1698710399999,8119637.5305341,17670,111.89781,3859577.8324045,0,2023-10-30
1698710400000,34481.52,34635.0,34064.94,34627.47,179.45831,1698796799999,6170040.5123003,17890,101.38014,3488967.4047853,0,2023-10-31
1698796800000,34627.2,35496.2,34100.0,35400.13,370.11502,1698883199999,12851114.4033516,31369,214.168,7452416.0227071,0,2023-11-01
1698883200000,35427.62,35954.99,34555.0,34942.95,328.43787,1698969599999,11573677.8201008,27708,124.79727,4398251.0763884,0,2023-11-02
1698969600000,34945.31,34947.97,34121.79,34720.25,215.27124,1699055999999,7433571.4794113,19009,99.94839,3451892.2185866,0,2023-11-03
1699056000000,34707.48,35211.47,34588.28,35048.07,104.6704,1699142399999,3643056.3035891,12731,60.16185,2094454.4960781,0,2023-11-04
