open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume,ignore,datetime
1696204800000,1728.9,1742.71,1644.61,1663.21,727.3603,1696291199999,1235357.176769,4873,353.9559,603714.288374,0,2023-10-02
1696291200000,1663.01,1670.15,1645.08,1657.88,342.0037,1696377599999,567470.035586,2552,147.1254,244185.804793,0,2023-10-03
1696377600000,1658.01,1658.01,1628.73,1647.96,182.0004,1696463999999,298548.024226,1795,77.0322,126481.809169,0,2023-10-04
1696464000000,1646.72,1654.05,1611.76,1611.76,288.9425,1696550399999,470169.766228,2461,142.3642,232196.644876,0,2023-10-05
1696550400000,1612.35,1660.16,1611.03,1645.83,361.1775,1696636799999,592879.767675,2293,235.4274,386305.456892,0,2023-10-06
1696636800000,1646.14,1648.17,1631.0,1634.43,216.196,1696723199999,354406.056873,1598,95.6249,156800.356014,0,2023-10-07
1696723200000,1633.34,1641.05,1617.95,1633.81,120.893,1696809599999,197087.092644,1446,49.5084,80699.361048,0,2023-10-08
1696809600000,1633.75,1636.48,1554.89,1579.72,407.4818,1696895999999,648176.866438,2872,154.3469,245381.138933,0,2023-10-09
1696896000000,1579.66,1594.35,1553.15,1568.21,339.0672,1696982399999,535206.539137,2043,183.3293,289926.340334,0,2023-10-10
1696982400000,1568.55,1578.0,1548.86,1565.47,540.8772,1697068799999,844828.114013,3061,218.3998,341498.482045,0,2023-10-11
1697068800000,1565.49,1567.95,1522.32,1540.14,368.9122,1697155199999,568234.616568,2165,218.4652,335829.083153,0,2023-10-12
1697155200000,1539.95,1574.22,1537.8,1548.57,264.704,1697241599999,411016.137558,1649,130.8812,202837.753655,0,2023-10-13
1697241600000,1552.02,1560.64,1545.2,1555.3,82.5784,1697327999999,128108.895653,985,39.9977,62097.169707,0,2023-10-14
1697328000000,1555.3,1564.0,1549.27,1556.24,124.5505,1697414399999,193888.987302,1030,75.6521,117864.980576,0,2023-10-15
1697414400000,1557.16,1626.44,1554.65,1599.99,845.5834,1697500799999,1342781.516743,4399,414.4172,657590.631697,0,2023-10-16
